,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
241,-0.0258,Wed Jun 13 03:16:04 +0000 2018,0.139,0.728,0.132,42,@CNN
242,0.743,Wed Jun 13 03:01:00 +0000 2018,0.0,0.73,0.27,43,@CNN
243,-0.1027,Wed Jun 13 02:46:07 +0000 2018,0.057,0.943,0.0,44,@CNN
244,-0.0258,Wed Jun 13 02:38:45 +0000 2018,0.197,0.563,0.239,45,@CNN
245,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,46,@CNN
246,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,47,@CNN
247,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,48,@CNN
248,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,49,@CNN
249,0.5859,Wed Jun 13 02:32:01 +0000 2018,0.0,0.858,0.142,50,@CNN
250,-0.2732,Wed Jun 13 02:31:29 +0000 2018,0.104,0.896,0.0,51,@CNN
251,-0.3612,Wed Jun 13 02:31:08 +0000 2018,0.197,0.717,0.085,52,@CNN
252,-0.4588,Wed Jun 13 02:27:25 +0000 2018,0.24,0.66,0.101,53,@CNN
253,0.7184,Wed Jun 13 02:26:08 +0000 2018,0.0,0.75,0.25,54,@CNN
254,0.6486,Wed Jun 13 02:21:06 +0000 2018,0.0,0.773,0.227,55,@CNN
255,0.4871,Wed Jun 13 02:17:26 +0000 2018,0.0,0.884,0.116,56,@CNN
256,0.7184,Wed Jun 13 02:15:04 +0000 2018,0.0,0.7,0.3,57,@CNN
257,0.5859,Wed Jun 13 02:11:07 +0000 2018,0.0,0.725,0.275,58,@CNN
258,0.0,Wed Jun 13 02:06:04 +0000 2018,0.0,1.0,0.0,59,@CNN
259,-0.4019,Wed Jun 13 02:01:07 +0000 2018,0.226,0.658,0.115,60,@CNN
260,0.0,Wed Jun 13 03:31:03 +0000 2018,0.0,1.0,0.0,61,@CNN
261,-0.0258,Wed Jun 13 03:16:04 +0000 2018,0.139,0.728,0.132,62,@CNN
262,0.743,Wed Jun 13 03:01:00 +0000 2018,0.0,0.73,0.27,63,@CNN
263,-0.1027,Wed Jun 13 02:46:07 +0000 2018,0.057,0.943,0.0,64,@CNN
264,-0.0258,Wed Jun 13 02:38:45 +0000 2018,0.197,0.563,0.239,65,@CNN
265,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,66,@CNN
266,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,67,@CNN
267,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,68,@CNN
268,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,69,@CNN
269,0.5859,Wed Jun 13 02:32:01 +0000 2018,0.0,0.858,0.142,70,@CNN
270,-0.2732,Wed Jun 13 02:31:29 +0000 2018,0.104,0.896,0.0,71,@CNN
271,-0.3612,Wed Jun 13 02:31:08 +0000 2018,0.197,0.717,0.085,72,@CNN
272,-0.4588,Wed Jun 13 02:27:25 +0000 2018,0.24,0.66,0.101,73,@CNN
273,0.7184,Wed Jun 13 02:26:08 +0000 2018,0.0,0.75,0.25,74,@CNN
274,0.6486,Wed Jun 13 02:21:06 +0000 2018,0.0,0.773,0.227,75,@CNN
275,0.4871,Wed Jun 13 02:17:26 +0000 2018,0.0,0.884,0.116,76,@CNN
276,0.7184,Wed Jun 13 02:15:04 +0000 2018,0.0,0.7,0.3,77,@CNN
277,0.5859,Wed Jun 13 02:11:07 +0000 2018,0.0,0.725,0.275,78,@CNN
278,0.0,Wed Jun 13 02:06:04 +0000 2018,0.0,1.0,0.0,79,@CNN
279,-0.4019,Wed Jun 13 02:01:07 +0000 2018,0.226,0.658,0.115,80,@CNN
280,0.0,Wed Jun 13 03:31:03 +0000 2018,0.0,1.0,0.0,81,@CNN
281,-0.0258,Wed Jun 13 03:16:04 +0000 2018,0.139,0.728,0.132,82,@CNN
282,0.743,Wed Jun 13 03:01:00 +0000 2018,0.0,0.73,0.27,83,@CNN
283,-0.1027,Wed Jun 13 02:46:07 +0000 2018,0.057,0.943,0.0,84,@CNN
284,-0.0258,Wed Jun 13 02:38:45 +0000 2018,0.197,0.563,0.239,85,@CNN
285,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,86,@CNN
286,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,87,@CNN
287,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,88,@CNN
288,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,89,@CNN
